titulo,descripcion,tipo,carrera,anio,ramo,tags,archivoUrl,carpetaRuta,profesor,semestre
"Apuntes Factorización,,.pdf,,,,,https://drive.google.com/file/d/1eKHsypeevC2M_eMvArg96TyfLRDTpzMr/view?usp=drivesdk,""Ignacio Benjamín Roco Barraza's files - OneDrive de Apuntes de Solidaridad Ing🚩/1º Semestre/Álgebra Lineal (MAT1203)/Apuntes, Libro y Ejercicios"",,",,,,,,,,,,
"Resumen Seba Soto,,.pdf,,,,,https://drive.google.com/file/d/1o9Gid1uB2iLSE3U3U4j2vbfWV0pHb915/view?usp=drivesdk,""Ignacio Benjamín Roco Barraza's files - OneDrive de Apuntes de Solidaridad Ing🚩/1º Semestre/Álgebra Lineal (MAT1203)/Apuntes, Libro y Ejercicios"",,",,,,,,,,,,
"Guia de Ejercicios,,.pdf,,,,,https://drive.google.com/file/d/1eYU4nungaG1Ldai1mmG232HuqY31a3ei/view?usp=drivesdk,""Ignacio Benjamín Roco Barraza's files - OneDrive de Apuntes de Solidaridad Ing🚩/1º Semestre/Álgebra Lineal (MAT1203)/Apuntes, Libro y Ejercicios"",,",,,,,,,,,,
"Chp_6,,.pdf,,,,,https://drive.google.com/file/d/1eGq0gqoJS_Wp2zts_8DxipJvRFLIWJ_e/view?usp=drivesdk,""Ignacio Benjamín Roco Barraza's files - OneDrive de Apuntes de Solidaridad Ing🚩/1º Semestre/Álgebra Lineal (MAT1203)/Apuntes, Libro y Ejercicios/Solucion Libro"",,",,,,,,,,,,
"Chp_5,,.pdf,,,,,https://drive.google.com/file/d/1hh__UA7KcFM9qmpXCNkkokyhDNxG3q-1/view?usp=drivesdk,""Ignacio Benjamín Roco Barraza's files - OneDrive de Apuntes de Solidaridad Ing🚩/1º Semestre/Álgebra Lineal (MAT1203)/Apuntes, Libro y Ejercicios/Solucion Libro"",,",,,,,,,,,,
"Chp_8,,.pdf,,,,,https://drive.google.com/file/d/1pZsxVTNT42Vc5yTXIuJJaoCH_7PyqwOH/view?usp=drivesdk,""Ignacio Benjamín Roco Barraza's files - OneDrive de Apuntes de Solidaridad Ing🚩/1º Semestre/Álgebra Lineal (MAT1203)/Apuntes, Libro y Ejercicios/Solucion Libro"",,",,,,,,,,,,
"Chp_7,,.pdf,,,,,https://drive.google.com/file/d/1yNjKwF5YObi_8DMHCFNA6og0K_JRDNuP/view?usp=drivesdk,""Ignacio Benjamín Roco Barraza's files - OneDrive de Apuntes de Solidaridad Ing🚩/1º Semestre/Álgebra Lineal (MAT1203)/Apuntes, Libro y Ejercicios/Solucion Libro"",,",,,,,,,,,,
"Chp_4,,.pdf,,,,,https://drive.google.com/file/d/1bjF9VNeWMFuma4IUWm5-SEKxVXUZDsYH/view?usp=drivesdk,""Ignacio Benjamín Roco Barraza's files - OneDrive de Apuntes de Solidaridad Ing🚩/1º Semestre/Álgebra Lineal (MAT1203)/Apuntes, Libro y Ejercicios/Solucion Libro"",,",,,,,,,,,,
"Chp_2,,.pdf,,,,,https://drive.google.com/file/d/104SeOkkRB-caLo81C0erDBr1A6M3Bu8p/view?usp=drivesdk,""Ignacio Benjamín Roco Barraza's files - OneDrive de Apuntes de Solidaridad Ing🚩/1º Semestre/Álgebra Lineal (MAT1203)/Apuntes, Libro y Ejercicios/Solucion Libro"",,",,,,,,,,,,
"Chp_1,,.pdf,,,,,https://drive.google.com/file/d/1McG1bQjwxYKV1ayi7WtAHV4QYTL-dm9O/view?usp=drivesdk,""Ignacio Benjamín Roco Barraza's files - OneDrive de Apuntes de Solidaridad Ing🚩/1º Semestre/Álgebra Lineal (MAT1203)/Apuntes, Libro y Ejercicios/Solucion Libro"",,",,,,,,,,,,
"Chp_3,,.pdf,,,,,https://drive.google.com/file/d/1ipzB-osa844ahsda5JtAijIoYVyPWgyh/view?usp=drivesdk,""Ignacio Benjamín Roco Barraza's files - OneDrive de Apuntes de Solidaridad Ing🚩/1º Semestre/Álgebra Lineal (MAT1203)/Apuntes, Libro y Ejercicios/Solucion Libro"",,",,,,,,,,,,
